codigo_departamento,codigo_dpto_mpio,codigo_centro_poblado,nombre_departamento,nombre_municipio,nombre_centro_poblado,nombre_tipo_ctro_pbdo,longitud,latitud,nombre_distrito,tipo_municipio,nombre_area_metro
"05","05002","05002004","ANTIOQUIA","ABEJORRAL","NARANJAL - LAS FONDAS","CENTRO POBLADO","-75.5141698055","5.76341111153","","MUNICIPIO","",
"05","05002","05002016","ANTIOQUIA","ABEJORRAL","LAS CANOAS","CENTRO POBLADO","-75.4290709182","5.7821878371","","MUNICIPIO","",
"05","05004","05004000","ANTIOQUIA","ABRIAQUI","ABRIAQUI","CABECERA MUNICIPAL","-76.0647034585","6.63180645181","","MUNICIPIO","",
"05","05004","05004003","ANTIOQUIA","ABRIAQUI","POTREROS SECTOR 1","CENTRO POBLADO","-76.0893929091","6.67447971816","","MUNICIPIO","",
"05","05021","05021000","ANTIOQUIA","ALEJANDRIA","ALEJANDRIA","CABECERA MUNICIPAL","-75.1413329006","6.37606567589","","MUNICIPIO","",
"05","05030","05030000","ANTIOQUIA","AMAGA","AMAGA","CABECERA MUNICIPAL","-75.7019460715","6.03880857536","","MUNICIPIO","",
"05","05030","05030001","ANTIOQUIA","AMAGA","CAMILO C","CENTRO POBLADO","-75.6984879911","6.02667314615","","MUNICIPIO","",
"05","05030","05030003","ANTIOQUIA","AMAGA","LA CLARITA","CENTRO POBLADO","-75.6996511257","6.06889191673","","MUNICIPIO","",
"05","05030","05030004","ANTIOQUIA","AMAGA","LA FERREIRA","CENTRO POBLADO","-75.7092743132","6.06338699202","","MUNICIPIO","",
"05","05030","05030005","ANTIOQUIA","AMAGA","LA GUALI","CENTRO POBLADO","-75.7068700899","6.05736756336","","MUNICIPIO","",
"05","05030","05030006","ANTIOQUIA","AMAGA","PIEDECUESTA","CENTRO POBLADO","-75.693460235","6.04999176281","","MUNICIPIO","",
"05","05030","05030011","ANTIOQUIA","AMAGA","MINAS","CENTRO POBLADO","-75.7011447836","6.07757277836","","MUNICIPIO","",
"05","05030","05030012","ANTIOQUIA","AMAGA","CAMILO C - ALTO DE LA VIRGEN","CENTRO POBLADO","-75.7031061978","6.02729109281","","MUNICIPIO","",
"05","05030","05030013","ANTIOQUIA","AMAGA","PIEDECUESTA - MANI DE LAS CASAS","CENTRO POBLADO","-75.6939254282","6.05500619998","","MUNICIPIO","",
"05","05031","05031000","ANTIOQUIA","AMALFI","AMALFI","CABECERA MUNICIPAL","-75.0825242787","6.91230472638","","MUNICIPIO","",
"05","05031","05031004","ANTIOQUIA","AMALFI","PORTACHUELO","CENTRO POBLADO","-74.92644973","6.80167792899","","MUNICIPIO","",
"05","05034","05034000","ANTIOQUIA","ANDES","ANDES","CABECERA MUNICIPAL","-75.8787918873","5.65677485248","","MUNICIPIO","",
"05","05034","05034001","ANTIOQUIA","ANDES","BUENOS AIRES","CENTRO POBLADO","-75.8355556903","5.68285462254","","MUNICIPIO","",
"05","05034","05034003","ANTIOQUIA","ANDES","SAN JOSE","CENTRO POBLADO","-75.8703552807","5.73608944697","","MUNICIPIO","",
"05","05034","05034006","ANTIOQUIA","ANDES","SANTA RITA","CENTRO POBLADO","-75.9173376495","5.61261866342","","MUNICIPIO","",
"05","05034","05034007","ANTIOQUIA","ANDES","TAPARTO","CENTRO POBLADO","-75.9650550585","5.70092904594","","MUNICIPIO","",
"05","05034","05034012","ANTIOQUIA","ANDES","SANTA INES","CENTRO POBLADO","-75.8999038798","5.56385121946","","MUNICIPIO","",
"05","05034","05034014","ANTIOQUIA","ANDES","SAN BARTOLO","CENTRO POBLADO","-75.8534178162","5.63761512544","","MUNICIPIO","",
"05","05034","05034015","ANTIOQUIA","ANDES","LA CHAPARRALA - LA UNION","CENTRO POBLADO","-75.924471304","5.65284805539","","MUNICIPIO","",
"05","05036","05036000","ANTIOQUIA","ANGELOPOLIS","ANGELOPOLIS","CABECERA MUNICIPAL","-75.7113511436","6.10961436831","","MUNICIPIO","",
"05","05036","05036001","ANTIOQUIA","ANGELOPOLIS","LA ESTACION","CENTRO POBLADO","-75.7034161311","6.08454690661","","MUNICIPIO","",
"05","05036","05036006","ANTIOQUIA","ANGELOPOLIS","SANTA RITA","CENTRO POBLADO","-75.709746272","6.0994168621","","MUNICIPIO","",
"05","05036","05036011","ANTIOQUIA","ANGELOPOLIS","CIENAGUITA","CENTRO POBLADO","-75.7488255821","6.11902694624","","MUNICIPIO","",
